,num_vids,min_views_overall,max_views_overall,mean_views_overall,median_views_overall,min_views_last10,max_views_last10,mean_views_last10,median_views_last10,min_views_last25,max_views_last25,mean_views_last25,median_views_last25,min_views_last50,max_views_last50,mean_views_last50,median_views_last50,profile
0,52,11,1362,209.71153846153845,98.5,16,160,63.7,50.5,11,1362,158.92,56.0,11,1362,214.46,98.5,https://www.tiktok.com/@evilgnomekitty
0,72,18,1362,184.52777777777777,147.5,22,294,149.0,128.5,22,464,172.32,148.0,22,791,182.96,149.5,https://www.tiktok.com/@emmaaaahhh
0,59,10,424,116.89830508474576,91.0,10,212,64.9,46.5,10,212,74.92,63.0,10,424,109.04,64.5,https://www.tiktok.com/@marissameizz
0,58,12,4435,290.44827586206895,101.5,12,512,122.7,56.5,12,692,122.4,60.0,12,4435,310.42,86.0,https://www.tiktok.com/@stuckinmyfeelsagain
0,73,31.0,11200.0,283.6164383561644,98.0,51,912,168.1,93.5,31,912,139.48,95.0,31.0,11200.0,359.04,115.0,https://www.tiktok.com/@scottbrandonhoffman
0,54,129.0,103000.0,5324.685185185185,1122.0,509.0,16900.0,4570.3,2206.5,484.0,103000.0,9423.08,1966.0,129.0,103000.0,5517.78,1085.5,https://www.tiktok.com/@thats.how.tommy.tiks
0,53,65.0,32100.0,1438.867924528302,456.0,91,4969,938.9,480.5,77.0,32100.0,1885.96,425.0,65.0,32100.0,1504.48,477.5,https://www.tiktok.com/@yoghurt_pot
0,53,13,106,24.037735849056602,20.0,14,27,18.0,17.5,14,38,21.24,18.0,13,106,24.1,20.0,https://www.tiktok.com/@imabbasali
0,47,2764.0,60400.0,9681.127659574468,7260.0,2764,7260,3989.1,3229.0,2764.0,12500.0,5903.16,5653.0,2764.0,60400.0,9681.127659574468,7260.0,https://www.tiktok.com/@roulalaura
0,70,31,1124,193.4,117.0,64,233,135.1,135.0,31,1082,194.04,120.0,31,1124,219.58,150.0,https://www.tiktok.com/@nancykas
0,16,109.0,185200.0,22634.875,1349.5,109.0,25600.0,3604.2,1178.0,109.0,185200.0,22634.875,1349.5,109.0,185200.0,22634.875,1349.5,https://www.tiktok.com/@jogoshehe
0,57,124.0,43400.0,4919.1578947368425,1839.0,597.0,10700.0,3290.6,1655.0,597.0,13800.0,4184.4,2739.0,450.0,43400.0,4984.96,2124.0,https://www.tiktok.com/@swagggy_nagggi
