,num_vids,min_views_overall,max_views_overall,mean_views_overall,median_views_overall,min_views_last10,max_views_last10,mean_views_last10,median_views_last10,min_views_last25,max_views_last25,mean_views_last25,median_views_last25,min_views_last50,max_views_last50,mean_views_last50,median_views_last50,profile
0,59,860,4793,2049.2203389830506,1837.0,860,4793,2049.2203389830506,1837.0,860,4793,2049.2203389830506,1837.0,860,4793,2049.2203389830506,1837.0,https://www.tiktok.com/@thefunnymothertruckerguy
0,59,472.0,813400.0,69578.52542372882,25000.0,472.0,813400.0,69578.52542372882,25000.0,472.0,813400.0,69578.52542372882,25000.0,472.0,813400.0,69578.52542372882,25000.0,https://www.tiktok.com/@boleiragemfc
0,4,32900.0,494900.0,253375.0,242850.0,32900.0,494900.0,253375.0,242850.0,32900.0,494900.0,253375.0,242850.0,32900.0,494900.0,253375.0,242850.0,https://www.tiktok.com/@oficialhungria
0,56,2452.0,285300.0,27220.60714285714,6998.5,2452.0,285300.0,27220.60714285714,6998.5,2452.0,285300.0,27220.60714285714,6998.5,2452.0,285300.0,27220.60714285714,6998.5,https://www.tiktok.com/@guacamolethong
0,55,5637.0,358900.0,31263.618181818183,16500.0,5637.0,358900.0,31263.618181818183,16500.0,5637.0,358900.0,31263.618181818183,16500.0,5637.0,358900.0,31263.618181818183,16500.0,https://www.tiktok.com/@kittysnackk
0,58,2473.0,131200.0,25623.310344827587,20850.0,2473.0,131200.0,25623.310344827587,20850.0,2473.0,131200.0,25623.310344827587,20850.0,2473.0,131200.0,25623.310344827587,20850.0,https://www.tiktok.com/@ormurse
0,56,659,4532,1701.6785714285713,1400.5,659,4532,1701.6785714285713,1400.5,659,4532,1701.6785714285713,1400.5,659,4532,1701.6785714285713,1400.5,https://www.tiktok.com/@pastroworld
0,52,2100.0,475300.0,25117.51923076923,3867.5,2100.0,475300.0,25117.51923076923,3867.5,2100.0,475300.0,25117.51923076923,3867.5,2100.0,475300.0,25117.51923076923,3867.5,https://www.tiktok.com/@princejay1_
0,72,13200.0,6500000.0,206826.38888888888,42750.0,13200.0,6500000.0,206826.38888888888,42750.0,13200.0,6500000.0,206826.38888888888,42750.0,13200.0,6500000.0,206826.38888888888,42750.0,https://www.tiktok.com/@rxuths
0,57,2081.0,133500.0,22308.157894736843,10300.0,2081.0,133500.0,22308.157894736843,10300.0,2081.0,133500.0,22308.157894736843,10300.0,2081.0,133500.0,22308.157894736843,10300.0,https://www.tiktok.com/@shekinahsa
